s bet_x bet_y alf_x alf_y disp_x disp_y rx_i ry_i rs_i rx_int ry_int rs_int
+0.0000000000e+000 +1.7937405360e+000 +1.6901588520e+001 -6.8281144740e-001 +3.7060862590e+000 -5.3332115080e-006 +0.0000000000e+000 -1.0066109948e-007 +2.3748950921e-006 +2.3547030681e-006 -1.0066109948e-007 +2.3748950921e-006 +2.3547030681e-006
+2.2000000000e-001 +2.1337404870e+000 +1.5313106460e+001 -8.6264287650e-001 +3.5142867380e+000 -1.1640149340e-005 +0.0000000000e+000 -6.3026858858e-007 +1.0972724459e-005 +1.2781573735e-005 -7.3092968806e-007 +1.3347619551e-005 +1.5136276803e-005
+1.4207650000e+000 +5.3727176560e+000 +7.9759233510e+000 -1.8416685630e+000 +2.5533700540e+000 +7.4598521900e-002 +0.0000000000e+000 +1.9440732708e-005 +3.8757306890e-007 +2.5590401948e-006 +1.8709803020e-005 +1.3735192620e-005 +1.7695316998e-005
+1.6407650000e+000 +6.2226147380e+000 +6.8980720360e+000 -2.0214999900e+000 +2.3459541060e+000 +1.0201422570e-001 +0.0000000000e+000 +9.0895186840e-006 +1.3046195971e-007 +1.1926179359e-006 +2.7799321704e-005 +1.3865654580e-005 +1.8887934934e-005
+1.7407650000e+000 +6.6350888920e+000 +6.4383092120e+000 -2.1032415480e+000 +2.2516741300e+000 +1.1447590920e-001 +0.0000000000e+000 +2.0221977809e-005 +2.4305345549e-007 +2.6492993677e-006 +4.8021299513e-005 +1.4108708035e-005 +2.1537234301e-005
+1.9607650000e+000 +7.6000780870e+000 +5.4932041030e+000 -2.2830729740e+000 +2.0442581830e+000 +1.4189161300e-001 +0.0000000000e+000 +1.1303651178e-004 +8.4178043882e-007 +1.4758235279e-005 +1.6105781129e-004 +1.4950488474e-005 +3.6295469581e-005
+3.1615300000e+000 +1.4241577990e+001 +1.9009554700e+000 -3.2620986130e+000 +9.2643663250e-001 +3.6579077020e-001 +0.0000000000e+000 +9.5428625244e-005 -3.0943731164e-008 +1.7193732599e-006 +2.5648643654e-004 +1.4919544743e-005 +3.8014842840e-005
+3.3815300000e+000 +1.5716464290e+001 +1.5406369190e+000 -3.4419300350e+000 +7.1137495960e-001 +4.2062848450e-001 +0.0000000000e+000 +4.4533986504e-005 -1.7477251431e-008 +8.0152268233e-007 +3.0102042304e-004 +1.4902067491e-005 +3.8816365523e-005
+3.4815300000e+000 +1.6413024460e+001 +1.4081374580e+000 -3.5236715900e+000 +6.1361965370e-001 +4.4555471830e-001 +0.0000000000e+000 +9.0225910476e-005 -3.6678215003e-008 +1.6230486712e-006 +3.9124633352e-004 +1.4865389276e-005 +4.0439414194e-005
+3.6815300000e+000 +1.7855189710e+001 +1.2017917190e+000 -3.6871547010e+000 +4.1810904190e-001 +4.9540718590e-001 +0.0000000000e+000 +1.8483771893e-004 -7.6885223932e-008 +3.3214031762e-006 +5.7608405245e-004 +1.4788504052e-005 +4.3760817370e-005
