s bet_x bet_y alf_x alf_y disp_x disp_y rx_i ry_i rs_i rx_int ry_int rs_int
+4.0815300000e+000 +1.7889315980e+001 +1.1999083610e+000 +3.6064826220e+000 -4.1314983950e-001 +5.5297667480e-001 +0.0000000000e+000 +9.1432141275e-005 -3.8946594366e-008 +1.6431824323e-006 +6.6751619372e-004 +1.4749557458e-005 +4.5403999802e-005
+4.2815300000e+000 +1.6478041550e+001 +1.4041943700e+000 +3.4498895260e+000 -6.0828020570e-001 +5.5991672560e-001 +0.0000000000e+000 +4.4180359202e-005 -1.8989219997e-008 +7.9492220832e-007 +7.1169655292e-004 +1.4730568238e-005 +4.6198922011e-005
+4.3815300000e+000 +1.5795893300e+001 +1.5356069300e+000 +3.3715929780e+000 -7.0584538880e-001 +5.6338675100e-001 +0.0000000000e+000 +9.5438078956e-005 -4.0550156750e-008 +1.7181286621e-006 +8.0713463188e-004 +1.4690018081e-005 +4.7917050673e-005
+4.6015300000e+000 +1.4350287910e+001 +1.8934004500e+000 +3.1993405720e+000 -9.2048879160e-001 +5.7102080680e-001 +0.0000000000e+000 +5.0053785681e-004 -1.9354214749e-007 +9.0211294306e-006 +1.3076724887e-003 +1.4496475934e-005 +5.6938180103e-005
+5.8022950000e+000 +7.8097008710e+000 +5.4688292640e+000 +2.2615760830e+000 -2.0362964770e+000 +6.8722609700e-001 +0.0000000000e+000 +1.7172140854e-004 +1.2147581758e-007 +1.1695937110e-006 +1.4793938972e-003 +1.4617951751e-005 +5.8107773814e-005
+6.0222950000e+000 +6.8525029250e+000 +6.4103470790e+000 +2.0893236720e+000 -2.2433299540e+000 +7.2228216310e-001 +0.0000000000e+000 +6.5639130643e-005 +4.5694345843e-008 +4.4720356713e-007 +1.5450330279e-003 +1.4663646097e-005 +5.8554977382e-005
+6.1222950000e+000 +6.4424678460e+000 +6.8684236830e+000 +2.0110271210e+000 -2.3374360800e+000 +7.3821673860e-001 +0.0000000000e+000 +1.3441376454e-004 +9.2333909939e-008 +9.1589752118e-007 +1.6794467924e-003 +1.4755980007e-005 +5.9470874903e-005
+6.3422950000e+000 +5.5955114430e+000 +7.9424429220e+000 +1.8387747110e+000 -2.5444695560e+000 +7.7327280470e-001 +0.0000000000e+000 +6.3557363680e-004 +4.1994083696e-007 +4.3321372108e-006 +2.3150204292e-003 +1.5175920844e-005 +6.3803012114e-005
+7.5430600000e+000 +2.3140474240e+000 +1.5256361200e+001 +9.0101017330e-001 -3.5039478380e+000 +1.0387670870e+000 +0.0000000000e+000 +7.9149879519e-005 +6.6421989927e-009 +3.6758175984e-007 +2.3941703087e-003 +1.5182563043e-005 +6.4170593873e-005
+7.7630600000e+000 +1.9554984780e+000 +1.6840220900e+001 +7.2875776000e-001 -3.6954144050e+000 +1.1012451630e+000 +0.0000000000e+000 +3.3959156545e-005 +2.9374762245e-009 +1.5773247537e-007 +2.4281294653e-003 +1.5185500519e-005 +6.4328326349e-005
+7.8630600000e+000 +1.8175765810e+000 +1.7588006800e+001 +6.5046120860e-001 -3.7824446620e+000 +1.1296442890e+000 +0.0000000000e+000 +6.6281501469e-005 +6.1028637980e-009 +3.0787976625e-007 +2.4944109668e-003 +1.5191603383e-005 +6.4636206115e-005
+8.0630600000e+000 +1.5887107190e+000 +1.9135796770e+001 +4.9386810560e-001 -3.9565051770e+000 +1.1864425400e+000 +0.0000000000e+000 +1.2665264021e-004 +1.4267949089e-008 +5.8836474326e-007 +2.6210636070e-003 +1.5205871332e-005 +6.5224570858e-005
+8.4630600000e+000 +1.5435547100e+000 +1.9288450870e+001 -3.7518234010e-001 +3.5948737810e+000 +1.3965225550e+000 +0.0000000000e+000 +6.1677088342e-005 +1.0512603605e-009 +2.8656057980e-007 +2.6827406953e-003 +1.5206922593e-005 +6.5511131438e-005
+8.6630600000e+000 +1.7231895860e+000 +1.7879374840e+001 -5.2299203950e-001 +3.4505063810e+000 +1.5525214920e+000 +0.0000000000e+000 +3.1350943872e-005 -3.0250185399e-009 +1.4566818351e-007 +2.7140916392e-003 +1.5203897574e-005 +6.5656799622e-005
+8.7630600000e+000 +1.8351784780e+000 +1.7196491940e+001 -5.9689688920e-001 +3.3783226810e+000 +1.6305209600e+000 +0.0000000000e+000 +6.9579539406e-005 -1.0217738813e-008 +3.2329954797e-007 +2.7836711786e-003 +1.5193679835e-005 +6.5980099170e-005
+8.9830600000e+000 +2.1335830570e+000 +1.5744966870e+001 -7.5948755860e-001 +3.2195185420e+000 +1.8021197910e+000 +0.0000000000e+000 +3.8763206768e-004 -9.4450356833e-008 +1.8011962699e-006 +3.1713032463e-003 +1.5099229478e-005 +6.7781295439e-005
+1.0183825000e+001 +5.0130421380e+000 +8.8884545740e+000 -1.6446523070e+000 +2.4506361720e+000 +2.8109706520e+000 +0.0000000000e+000 +8.1549505198e-005 -4.2445350779e-008 +3.7545571704e-007 +3.2528527515e-003 +1.5056784128e-005 +6.8156751156e-005
+1.0403825000e+001 +5.7724591000e+000 +7.8483221100e+000 -1.8072429740e+000 +2.2772386630e+000 +3.0099914910e+000 +0.0000000000e+000 +3.8087497863e-005 -2.0334883649e-008 +1.7535814399e-007 +3.2909402493e-003 +1.5036449244e-005 +6.8332109300e-005
+1.0503825000e+001 +6.1412981800e+000 +7.4007560820e+000 -1.8811478230e+000 +2.1984216130e+000 +3.1004555090e+000 +0.0000000000e+000 +8.4862885470e-005 -4.5513357811e-008 +3.9071772537e-007 +3.3758031348e-003 +1.4990935886e-005 +6.8722827026e-005
+1.0723825000e+001 +7.0047731690e+000 +6.4715980240e+000 -2.0437384900e+000 +2.0250241040e+000 +3.2994763480e+000 +0.0000000000e+000 +4.7666309682e-004 -2.5466095327e-007 +2.1946168938e-006 +3.8524662316e-003 +1.4736274933e-005 +7.0917443920e-005
+1.1924590000e+001 +1.2960549060e+001 +2.6886194830e+000 -2.9289031950e+000 +1.1033993110e+000 +4.4576161910e+000 +0.0000000000e+000 +1.0061083702e-004 -4.1808486516e-008 +4.7480922253e-007 +3.9530770686e-003 +1.4694466446e-005 +7.1392253142e-005
+1.2144590000e+001 +1.4285036420e+001 +2.2430426060e+000 -3.0914938580e+000 +9.2195012830e-001 +4.6840590370e+000 +0.0000000000e+000 +4.6978670894e-005 -1.7770589793e-008 +2.2170451644e-007 +4.0000557395e-003 +1.4676695857e-005 +7.1613957659e-005
+1.2244590000e+001 +1.4910725670e+001 +2.0669002710e+000 -3.1653987040e+000 +8.3947322690e-001 +4.7869876040e+000 +0.0000000000e+000 +9.5044250141e-005 -3.4364425279e-008 +4.4853720381e-007 +4.0950999897e-003 +1.4642331431e-005 +7.2062494862e-005
+1.2444590000e+001 +1.6206447090e+001 +1.7641017400e+000 -3.3132083980e+000 +6.7451942410e-001 +4.9928447370e+000 +0.0000000000e+000 +1.9406839143e-004 -6.4036478163e-008 +9.1584843616e-007 +4.2891683811e-003 +1.4578294953e-005 +7.2978343299e-005
+1.2844590000e+001 +1.5940922220e+001 +1.6318553010e+000 +3.9370689160e+000 -3.2447292320e-001 +4.9536532610e+000 +0.0000000000e+000 +9.9197062783e-005 -3.0884816184e-008 +4.6812466622e-007 +4.3883654439e-003 +1.4547410137e-005 +7.3446467965e-005
+1.3044590000e+001 +1.4407498810e+001 +1.7887371340e+000 +3.7300481250e+000 -4.5993624240e-001 +4.7091890280e+000 +0.0000000000e+000 +4.9567501555e-005 -1.6129743256e-008 +2.3391536301e-007 +4.4379329454e-003 +1.4531280394e-005 +7.3680383328e-005
+1.3144590000e+001 +1.3671840230e+001 +1.8874975490e+000 +3.6265377290e+000 -5.2766790200e-001 +4.5869569120e+000 +0.0000000000e+000 +1.0878075670e-004 -3.6340746952e-008 +5.1334940228e-007 +4.5467137021e-003 +1.4494939647e-005 +7.4193732730e-005
+1.3364590000e+001 +1.2126262660e+001 +2.1524535490e+000 +3.3988148590e+000 -6.7667755320e-001 +4.3180462560e+000 +0.0000000000e+000 +5.8816336550e-004 -2.0923700372e-007 +2.7755958708e-006 +5.1348770676e-003 +1.4285702643e-005 +7.6969328601e-005
+1.4565355000e+001 +5.4695456220e+000 +4.7126962250e+000 +2.1590619330e+000 -1.4405755720e+000 +2.9287061330e+000 +0.0000000000e+000 +9.8750781260e-005 -4.4326114360e-008 +4.5202279469e-007 +5.2336278489e-003 +1.4241376529e-005 +7.7421351396e-005
+1.4785355000e+001 +4.5696574040e+000 +5.3781327740e+000 +1.9313390580e+000 -1.5841360140e+000 +2.6872174850e+000 +0.0000000000e+000 +4.3802040092e-005 -2.0001359617e-008 +2.0049811662e-007 +5.2774298890e-003 +1.4221375169e-005 +7.7621849512e-005
+1.4885355000e+001 +4.1937406320e+000 +5.7014854520e+000 +1.8278286600e+000 -1.6493907610e+000 +2.5774499170e+000 +0.0000000000e+000 +9.5307887102e-005 -4.3638893372e-008 +4.3625652789e-007 +5.3727377761e-003 +1.4177736276e-005 +7.8058106040e-005
+1.5105355000e+001 +3.4395950550e+000 +6.4588006840e+000 +1.6001057850e+000 -1.7929512030e+000 +2.3359612690e+000 +0.0000000000e+000 +5.0790376235e-004 -2.3101531499e-007 +2.3248009938e-006 +5.8806415384e-003 +1.3946720961e-005 +8.0382907034e-005
+1.6306120000e+001 +1.0915368570e+000 +1.1585262620e+001 +3.6035281480e-001 -2.4464975230e+000 +1.0959101290e+000 +0.0000000000e+000 +8.0874208055e-005 -2.1280506005e-008 +3.8943662961e-007 +5.9615157465e-003 +1.3925440455e-005 +8.0772343664e-005
+1.6526120000e+001 +9.8308065150e-001 +1.2690904380e+001 +1.3262993800e-001 -2.5791468280e+000 +8.8184348980e-001 +0.0000000000e+000 +3.6158724618e-005 -6.5028739115e-009 +1.7410422353e-007 +5.9976744711e-003 +1.3918937581e-005 +8.0946447887e-005
+1.6626120000e+001 +9.6690570370e-001 +1.3212763260e+001 +2.9119539440e-002 -2.6394419660e+000 +7.8454047200e-001 +0.0000000000e+000 +7.1817249694e-005 -9.7654512666e-009 +3.4578770965e-007 +6.0694917208e-003 +1.3909172130e-005 +8.1292235597e-005
+1.6826120000e+001 +9.9666204740e-001 +1.4292658100e+001 -1.7790125770e-001 -2.7600322430e+000 +5.8993443650e-001 +0.0000000000e+000 +1.4180229647e-004 -5.1561765853e-009 +6.8270091169e-007 +6.2112940173e-003 +1.3904015953e-005 +8.1974936508e-005
+1.7226120000e+001 +1.4861775100e+000 +1.4324090950e+001 -1.1068992390e+000 +2.6854475260e+000 +2.3597156460e-001 +0.0000000000e+000 +7.3781815741e-005 +7.8886521537e-009 +3.5513677063e-007 +6.2850758330e-003 +1.3911904605e-005 +8.2330073279e-005
+1.7426120000e+001 +1.9888284610e+000 +1.3272842900e+001 -1.4063555170e+000 +2.5707927330e+000 +7.2169973060e-002 +0.0000000000e+000 +3.9075911524e-005 +5.6811976973e-009 +1.8805304203e-007 +6.3241517445e-003 +1.3917585803e-005 +8.2518126321e-005
+1.7526120000e+001 +2.2850723780e+000 +1.2764417090e+001 -1.5560836560e+000 +2.5134653370e+000 -9.7308227390e-003 +0.0000000000e+000 +8.8674719249e-005 +1.4835764900e-008 +4.2670734439e-007 +6.4128264638e-003 +1.3932421568e-005 +8.2944833665e-005
+1.7746120000e+001 +3.0422176060e+000 +1.1686238810e+001 -1.8854855610e+000 +2.3873450640e+000 -1.8991257350e-001 +0.0000000000e+000 +5.2096926532e-004 +1.1433102500e-007 +2.5063700531e-006 +6.9337957291e-003 +1.4046752593e-005 +8.5451203719e-005
+1.8946885000e+001 +9.7066013470e+000 +6.6566405030e+000 -3.6787923730e+000 +1.7719999940e+000 -1.0962009780e+000 +0.0000000000e+000 +1.2139628794e-004 +9.6992602157e-008 +1.0001252121e-006 +7.0551920170e-003 +1.4143745195e-005 +8.6451328931e-005
+1.9166885000e+001 +1.1397738410e+001 +5.9070620590e+000 -4.0081942740e+000 +1.6351747480e+000 -1.2489607170e+000 +0.0000000000e+000 +5.3752158286e-005 +2.8063888153e-008 +4.4273404053e-007 +7.1089441753e-003 +1.4171809083e-005 +8.6894062971e-005
+1.9266885000e+001 +1.2214350080e+001 +5.5862464390e+000 -4.1579224100e+000 +1.5729814540e+000 -1.3183969630e+000 +0.0000000000e+000 +1.1644133590e-004 +4.6755377518e-008 +9.5896924818e-007 +7.2253855112e-003 +1.4218564461e-005 +8.7853032219e-005
+1.9486885000e+001 +1.4116304360e+001 +4.9242361540e+000 -4.4873243110e+000 +1.4361562080e+000 -1.4711567020e+000 +0.0000000000e+000 +6.1318913690e-004 +9.9073109733e-008 +5.0486153292e-006 +7.8385746481e-003 +1.4317637570e-005 +9.2901647549e-005
+2.0687650000e+001 +2.7013177470e+001 +2.3274404940e+000 -6.2806310270e+000 +7.1132526930e-001 -2.2281561050e+000 +0.0000000000e+000 +3.5827327976e-005 -8.6584258010e-008 +1.0114233057e-006 +7.8744019761e-003 +1.4231053312e-005 +9.3913070854e-005
+2.0907650000e+001 +2.9849123540e+001 +2.0457748710e+000 -6.6100329180e+000 +5.6897301520e-001 -2.3534938320e+000 +0.0000000000e+000 +1.6300921441e-005 -3.7543341892e-008 +4.5991010652e-007 +7.8907028975e-003 +1.4193509970e-005 +9.4372980961e-005
+2.1007650000e+001 +3.1186102930e+001 +1.9384508250e+000 -6.7597610510e+000 +5.0426744520e-001 -2.4104655260e+000 +0.0000000000e+000 +3.2574706991e-005 -7.3420937960e-008 +9.1879455637e-007 +7.9232776045e-003 +1.4120089032e-005 +9.5291775517e-005
+2.1207650000e+001 +3.3949898610e+001 +1.7626260750e+000 -7.0592173150e+000 +3.7485630510e-001 -2.5244089140e+000 +0.0000000000e+000 +6.4831112999e-005 -1.4058237626e-007 +1.8275422025e-006 +7.9881087175e-003 +1.3979506656e-005 +9.7119317720e-005
+2.1607650000e+001 +3.3029815210e+001 +1.8929941990e+000 +9.2106534720e+000 -7.2132478250e-001 -2.5071594770e+000 +0.0000000000e+000 +3.1955539995e-005 -7.2627023446e-008 +9.0139579437e-007 +8.0200642575e-003 +1.3906879633e-005 +9.8020713514e-005
+2.1807650000e+001 +2.9449503710e+001 +2.2136490800e+000 +8.6909040470e+000 -8.8194962140e-001 -2.3762428670e+000 +0.0000000000e+000 +1.5857195485e-005 -3.8791598846e-008 +4.4781630546e-007 +8.0359214530e-003 +1.3868088034e-005 +9.8468529819e-005
+2.1907650000e+001 +2.7737310370e+001 +2.3980702460e+000 +8.4310293340e+000 -9.6226204090e-001 -2.3107845620e+000 +0.0000000000e+000 +3.4731498196e-005 -8.7878318510e-008 +9.8137031497e-007 +8.0706529512e-003 +1.3780209715e-005 +9.9449900134e-005
+2.2127650000e+001 +2.4153436820e+001 +2.8603367550e+000 +7.8593049660e+000 -1.1389493640e+000 -2.1667762900e+000 +0.0000000000e+000 +1.8763957155e-004 -5.0522214726e-007 +5.3077665545e-006 +8.2582925227e-003 +1.3274987568e-005 +1.0475766669e-004
+2.3328415000e+001 +9.0550401920e+000 +6.6944886830e+000 +4.7467631230e+000 -2.0317930920e+000 -1.3081320160e+000 +0.0000000000e+000 +3.6015972960e-005 -5.4234537417e-008 +9.7444189153e-007 +8.2943084957e-003 +1.3220753031e-005 +1.0573210858e-004
+2.3548415000e+001 +7.0922437820e+000 +7.6255535250e+000 +4.1750387440e+000 -2.2003198240e+000 -1.1367017330e+000 +0.0000000000e+000 +1.6732898560e-005 -1.1742161517e-008 +4.5275397300e-007 +8.3110413943e-003 +1.3209010869e-005 +1.0618486255e-004
+2.3648415000e+001 +6.2832235050e+000 +8.0732777960e+000 +3.9151640260e+000 -2.2769228830e+000 -1.0587788770e+000 +0.0000000000e+000 +3.7276771714e-005 -9.1667861658e-009 +1.0086398223e-006 +8.3483181660e-003 +1.3199844083e-005 +1.0719350238e-004
+2.3868415000e+001 +4.6863306970e+000 +9.1121997450e+000 +3.3434396470e+000 -2.4454496150e+000 -8.8734859360e-001 +0.0000000000e+000 +2.1048748608e-004 +2.0565863985e-007 +5.6954225768e-006 +8.5588056521e-003 +1.3405502723e-005 +1.1288892495e-004
+2.5069180000e+001 +4.0531597490e-001 +1.5921300390e+001 +2.3089770820e-001 -3.1854969160e+000 +1.2058468150e-001 +0.0000000000e+000 +4.6941395516e-005 +1.9160659915e-007 +8.1279240033e-007 +8.6057470476e-003 +1.3597109322e-005 +1.1370171735e-004
+2.5289180000e+001 +4.2950034740e-001 +1.7356806570e+001 -3.4082667410e-001 -3.3395311890e+000 +3.1943697600e-001 +0.0000000000e+000 +1.9697197176e-005 +8.1641270050e-008 +3.4114766980e-007 +8.6254442447e-003 +1.3678750592e-005 +1.1404286502e-004
+2.5389180000e+001 +5.2365315410e-001 +1.8031714370e+001 -6.0070139320e-001 -3.4095467680e+000 +4.0982438250e-001 +0.0000000000e+000 +3.8029637199e-005 +1.5867992067e-007 +6.5873115441e-007 +8.6634738819e-003 +1.3837430513e-005 +1.1470159618e-004
+2.5589180000e+001 +8.6788359910e-001 +1.9423539310e+001 -1.1204508320e+000 -3.5495779250e+000 +5.9059919560e-001 +0.0000000000e+000 +7.1060186497e-005 +3.0100212385e-007 +1.2311194418e-006 +8.7345340684e-003 +1.4138432637e-005 +1.1593271562e-004
+2.5989180000e+001 +2.6216816330e+000 +1.7322403950e+001 -3.6335890550e+000 +8.3442353580e+000 +1.0454247470e+000 +0.0000000000e+000 +5.0778844205e-005 +1.1383380584e-007 +8.8011490772e-007 +8.7853129126e-003 +1.4252266442e-005 +1.1681283053e-004
+2.6289180000e+001 +5.2894103810e+000 +1.2682807400e+001 -5.2588401040e+000 +7.1210864710e+000 +1.4710587560e+000 +0.0000000000e+000 +6.9271423757e-005 -6.0713049078e-009 +1.2010696432e-006 +8.8545843364e-003 +1.4246195138e-005 +1.1801390017e-004
+2.6689180000e+001 +7.7936735840e+000 +1.1125568480e+001 -2.8159560750e-001 -2.7998343210e+000 +1.7660164710e+000 +0.0000000000e+000 +6.7952745647e-005 -6.6391119919e-008 +1.1784183342e-006 +8.9225370821e-003 +1.4179804018e-005 +1.1919231850e-004
+2.7089180000e+001 +5.6452728650e+000 +1.8240004150e+001 +5.0347206200e+000 -1.6942332360e+001 +1.4818830500e+000 +0.0000000000e+000 +4.5381041185e-005 +5.9992286843e-008 +7.8674592779e-007 +8.9679181232e-003 +1.4239796304e-005 +1.1997906443e-004
+2.7389180000e+001 +3.0445011540e+000 +2.9826666200e+001 +3.6345184140e+000 -2.1679874470e+001 +1.0634333460e+000 +0.0000000000e+000 +5.4908907561e-005 +4.0025771771e-007 +9.5149736412e-007 +9.0228270308e-003 +1.4640054022e-005 +1.2093056180e-004
+2.7789180000e+001 +1.4035996420e+000 +3.7106926760e+001 +9.0731638990e-001 +5.5168826460e+000 +6.5392395280e-001 +0.0000000000e+000 +2.7619387619e-005 +3.5774232632e-007 +4.7837726779e-007 +9.0504464184e-003 +1.4997796348e-005 +1.2140893906e-004
+2.7989180000e+001 +1.0926315790e+000 +3.4934060620e+001 +6.4752392820e-001 +5.3474480050e+000 +5.1223357740e-001 +0.0000000000e+000 +1.4720599064e-005 +1.8613537078e-007 +2.5491338322e-007 +9.0651670175e-003 +1.5183931719e-005 +1.2166385245e-004
+2.8089180000e+001 +9.7611641620e-001 +3.3873042760e+001 +5.1762769740e-001 +5.2627306840e+000 +4.4138838960e-001 +0.0000000000e+000 +3.3448882323e-005 +4.1742863380e-007 +5.7917003242e-007 +9.0986158998e-003 +1.5601360353e-005 +1.2224302248e-004
+2.8309180000e+001 +8.1123000510e-001 +3.1598444440e+001 +2.3185598960e-001 +5.0763525790e+000 +2.8552897660e-001 +0.0000000000e+000 +1.9595007918e-004 +2.3648210515e-006 +3.3922017146e-006 +9.2945659790e-003 +1.7966181405e-005 +1.2563522419e-004
+2.9509945000e+001 +2.1192073500e+000 +2.0273472740e+001 -1.3239223780e+000 +4.2891001310e+000 -4.8834545660e-001 +0.0000000000e+000 +3.5528151613e-005 +4.0051084752e-007 +9.2969573493e-007 +9.3300941306e-003 +1.8366692252e-005 +1.2656491993e-004
+2.9729945000e+001 +2.7646029720e+000 +1.8432574750e+001 -1.6096940850e+000 +4.0786180080e+000 -6.1678285880e-001 +0.0000000000e+000 +1.5633804146e-005 +1.3315008067e-007 +4.0915056920e-007 +9.3457279347e-003 +1.8499842333e-005 +1.2697407050e-004
+2.9829945000e+001 +3.0995314120e+000 +1.7626418520e+001 -1.7395903150e+000 +3.9829443150e+000 -6.7516349620e-001 +0.0000000000e+000 +3.3938677021e-005 +2.4998755707e-007 +8.8825644702e-007 +9.3796666118e-003 +1.8749829890e-005 +1.2786232694e-004
+3.0049945000e+001 +3.9278209260e+000 +1.5920229090e+001 -2.0253620220e+000 +3.7724621920e+000 -8.0360089830e-001 +0.0000000000e+000 +1.8070769768e-004 +9.1911527237e-007 +4.7301728345e-006 +9.5603743094e-003 +1.9668945162e-005 +1.3259249978e-004
+3.1250710000e+001 +1.0642777240e+001 +8.0813426800e+000 -3.5811403500e+000 +2.7100899880e+000 -1.4281863330e+000 +0.0000000000e+000 +2.4486799131e-005 -8.1927584892e-008 +9.0789538094e-007 +9.5848611086e-003 +1.9587017577e-005 +1.3350039516e-004
+3.1470710000e+001 +1.2281348770e+001 +6.9388796870e+000 -3.8669120520e+000 +2.4829236150e+000 -1.5292017230e+000 +0.0000000000e+000 +1.1328455129e-005 -4.3813131824e-008 +4.2004086938e-007 +9.5961895637e-003 +1.9543204445e-005 +1.3392043603e-004
+3.1570710000e+001 +1.3067720800e+001 +6.4526207080e+000 -3.9968082800e+000 +2.3796661730e+000 -1.5751178100e+000 +0.0000000000e+000 +2.2861687190e-005 -9.2024952284e-008 +8.4766417285e-007 +9.6190512509e-003 +1.9451179493e-005 +1.3476810020e-004
+3.1770710000e+001 +1.4718402610e+001 +5.5420572160e+000 -4.2566007360e+000 +2.1731512890e+000 -1.6669499830e+000 +0.0000000000e+000 +4.6638116168e-005 -1.9619930578e-007 +1.7290957543e-006 +9.6656893671e-003 +1.9254980187e-005 +1.3649719596e-004
+3.2170710000e+001 +1.5301935440e+001 +4.8646403950e+000 +2.8906163690e+000 -3.7449936410e-001 -1.6902215570e+000 +0.0000000000e+000 +2.4153836110e-005 -9.8828925022e-008 +8.9515870254e-007 +9.6898432032e-003 +1.9156151262e-005 +1.3739235466e-004
+3.2370710000e+001 +1.4170145050e+001 +5.0238159600e+000 +2.7683355890e+000 -4.2137846230e-001 -1.6212942020e+000 +0.0000000000e+000 +1.2239244980e-005 -4.8153964575e-008 +4.5350021602e-007 +9.7020824482e-003 +1.9107997298e-005 +1.3784585488e-004
+3.2470710000e+001 +1.3622591970e+001 +5.1104356070e+000 +2.7071951990e+000 -4.4481801140e-001 -1.5868305250e+000 +0.0000000000e+000 +2.7102847252e-005 -1.0432510358e-007 +1.0041324620e-006 +9.7291852954e-003 +1.9003672194e-005 +1.3884998734e-004
+3.2690710000e+001 +1.2461018030e+001 +5.3175002740e+000 +2.5726863410e+000 -4.9638501940e-001 -1.5110104350e+000 +0.0000000000e+000 +1.5003299350e-004 -5.4663583694e-007 +5.5572110610e-006 +9.8792182889e-003 +1.8457036357e-005 +1.4440719840e-004
+3.3891475000e+001 +7.1754232420e+000 +6.7650260950e+000 +1.8404026390e+000 -7.0068063230e-001 -1.0235914930e+000 +0.0000000000e+000 +6.4981513377e-005 +3.4083095736e-008 +1.0394700660e-006 +9.9441998023e-003 +1.8491119453e-005 +1.4544666846e-004
+3.4111475000e+001 +6.3952380300e+000 +7.0839925160e+000 +1.7058937780e+000 -7.4916673300e-001 -9.2034939090e-001 +0.0000000000e+000 +3.0761280629e-005 +2.7538783339e-008 +4.9210845391e-007 +9.9749610829e-003 +1.8518658236e-005 +1.4593877692e-004
+3.4211475000e+001 +6.0601733140e+000 +7.2360297760e+000 +1.6447533860e+000 -7.7120586970e-001 -8.7342116270e-001 +0.0000000000e+000 +6.9030484784e-005 +7.4482982962e-008 +1.1043611756e-006 +1.0043991568e-002 +1.8593141219e-005 +1.4704313809e-004
+3.4431475000e+001 +5.3660737730e+000 +7.5860273010e+000 +1.5102445240e+000 -8.1969197040e-001 -7.7017906050e-001 +0.0000000000e+000 +3.9468216182e-004 +5.9818584410e-007 +6.3145811655e-006 +1.0438673730e-002 +1.9191327063e-005 +1.5335771926e-004
+3.5632240000e+001 +2.6254705140e+000 +9.7527146630e+000 +7.7796078280e-001 -9.7210129590e-001 -1.3347111890e-001 +0.0000000000e+000 +9.0066093635e-005 +1.0008053954e-007 +8.0269171472e-007 +1.0528739823e-002 +1.9291407603e-005 +1.5416041097e-004
+3.5852240000e+001 +2.3127597190e+000 +1.0190091630e+001 +6.4345191910e-001 -1.0159758290e+000 -2.8070055420e-003 +0.0000000000e+000 +3.9022229184e-005 +4.1839883652e-008 +3.4782732281e-007 +1.0567762052e-002 +1.9333247487e-005 +1.5450823830e-004
