s bet_x bet_y alf_x alf_y disp_x disp_y rx_i ry_i rs_i rx_int ry_int rs_int
+1.3044590000e+001 +1.4407498810e+001 +1.7887371340e+000 +3.7300481250e+000 -4.5993624240e-001 +4.7091890280e+000 +0.0000000000e+000 +4.9374138620e-005 -1.4751463137e-008 +2.3301289012e-007 +4.6385553238e-003 +1.4934809847e-005 +7.3738218536e-005
+1.3144590000e+001 +1.3671840230e+001 +1.8874975490e+000 +3.6265377290e+000 -5.2766790200e-001 +4.5869569120e+000 +0.0000000000e+000 +1.0875179344e-004 -3.3069787315e-008 +5.1323520108e-007 +4.7473071173e-003 +1.4901740059e-005 +7.4251453737e-005
+1.3364590000e+001 +1.2126262660e+001 +2.1524535490e+000 +3.3988148590e+000 -6.7667755320e-001 +4.3180462560e+000 +0.0000000000e+000 +5.9311861754e-004 -1.8766824253e-007 +2.7991078405e-006 +5.3404257348e-003 +1.4714071817e-005 +7.7050561577e-005
+1.4565355000e+001 +5.4695456220e+000 +4.7126962250e+000 +2.1590619330e+000 -1.4405755720e+000 +2.9287061330e+000 +0.0000000000e+000 +1.0729923541e-004 -2.9423568208e-008 +4.9117596294e-007 +5.4477249702e-003 +1.4684648249e-005 +7.7541737540e-005
+1.4785355000e+001 +4.5696574040e+000 +5.3781327740e+000 +1.9313390580e+000 -1.5841360140e+000 +2.6872174850e+000 +0.0000000000e+000 +4.8521659359e-005 -1.1264912809e-008 +2.2211050783e-007 +5.4962466296e-003 +1.4673383336e-005 +7.7763848048e-005
+1.4885355000e+001 +4.1937406320e+000 +5.7014854520e+000 +1.8278286600e+000 -1.6493907610e+000 +2.5774499170e+000 +0.0000000000e+000 +1.0657203240e-004 -2.2091973674e-008 +4.8783473207e-007 +5.6028186620e-003 +1.4651291362e-005 +7.8251682780e-005
+1.5105355000e+001 +3.4395950550e+000 +6.4588006840e+000 +1.6001057850e+000 -1.7929512030e+000 +2.3359612690e+000 +0.0000000000e+000 +5.8062617075e-004 -8.0301590688e-008 +2.6577593057e-006 +6.1834448327e-003 +1.4570989771e-005 +8.0909442086e-005
+1.6306120000e+001 +1.0915368570e+000 +1.1585262620e+001 +3.6035281480e-001 -2.4464975230e+000 +1.0959101290e+000 +0.0000000000e+000 +1.0763150605e-004 +7.3985020745e-008 +5.1831012812e-007 +6.2910763388e-003 +1.4644974792e-005 +8.1427752214e-005
+1.6526120000e+001 +9.8308065150e-001 +1.2690904380e+001 +1.3262993800e-001 -2.5791468280e+000 +8.8184348980e-001 +0.0000000000e+000 +5.0249027776e-005 +4.7943877967e-008 +2.4196687993e-007 +6.3413253666e-003 +1.4692918670e-005 +8.1669719094e-005
+1.6626120000e+001 +9.6690570370e-001 +1.3212763260e+001 +2.9119539440e-002 -2.6394419660e+000 +7.8454047200e-001 +0.0000000000e+000 +1.0209335923e-004 +1.1157073291e-007 +4.9160344432e-007 +6.4434187258e-003 +1.4804489403e-005 +8.2161322538e-005
+1.6826120000e+001 +9.9666204740e-001 +1.4292658100e+001 -1.7790125770e-001 -2.7600322430e+000 +5.8993443650e-001 +0.0000000000e+000 +2.1272717411e-004 +3.0007970312e-007 +1.0242763334e-006 +6.6561458999e-003 +1.5104569106e-005 +8.3185598871e-005
+1.7226120000e+001 +1.4861775100e+000 +1.4324090950e+001 -1.1068992390e+000 +2.6854475260e+000 +2.3597156460e-001 +0.0000000000e+000 +1.2843817702e-004 +2.4017049566e-007 +6.1833162393e-007 +6.7845840769e-003 +1.5344739602e-005 +8.3803930495e-005
+1.7426120000e+001 +1.9888284610e+000 +1.3272842900e+001 -1.4063555170e+000 +2.5707927330e+000 +7.2169973060e-002 +0.0000000000e+000 +7.4695444402e-005 +1.4516042437e-007 +3.5956030140e-007 +6.8592795213e-003 +1.5489900026e-005 +8.4163490797e-005
+1.7526120000e+001 +2.2850723780e+000 +1.2764417090e+001 -1.5560836560e+000 +2.5134653370e+000 -9.7308227390e-003 +0.0000000000e+000 +1.6962529256e-004 +3.1994931170e-007 +8.1647301727e-007 +7.0289048139e-003 +1.5809849338e-005 +8.4979963814e-005
+1.7746120000e+001 +3.0422176060e+000 +1.1686238810e+001 -1.8854855610e+000 +2.3873450640e+000 -1.8991257350e-001 +0.0000000000e+000 +8.5155364856e-004 +1.2756243484e-006 +4.0983162913e-006 +7.8804584625e-003 +1.7085473686e-005 +8.9078280105e-005
+1.8946885000e+001 +9.7066013470e+000 +6.6566405030e+000 -3.6787923730e+000 +1.7719999940e+000 -1.0962009780e+000 +0.0000000000e+000 +9.0130485704e-005 +1.9793128864e-008 +7.4305776055e-007 +7.9705889482e-003 +1.7105266815e-005 +8.9821337866e-005
+1.9166885000e+001 +1.1397738410e+001 +5.9070620590e+000 -4.0081942740e+000 +1.6351747480e+000 -1.2489607170e+000 +0.0000000000e+000 +4.0844069904e-005 +1.3356149291e-009 +3.3662818085e-007 +8.0114330181e-003 +1.7106602430e-005 +9.0157966047e-005
+1.9266885000e+001 +1.2214350080e+001 +5.5862464390e+000 -4.1579224100e+000 +1.5729814540e+000 -1.3183969630e+000 +0.0000000000e+000 +8.9843309590e-005 -3.4758622477e-009 +7.4036626768e-007 +8.1012763277e-003 +1.7103126568e-005 +9.0898332314e-005
+1.9486885000e+001 +1.4116304360e+001 +4.9242361540e+000 -4.4873243110e+000 +1.4361562080e+000 -1.4711567020e+000 +0.0000000000e+000 +4.9129872492e-004 -8.3110456296e-008 +4.0473388937e-006 +8.5925750526e-003 +1.7020016112e-005 +9.4945671208e-005
+2.0687650000e+001 +2.7013177470e+001 +2.3274404940e+000 -6.2806310270e+000 +7.1132526930e-001 -2.2281561050e+000 +0.0000000000e+000 +3.3811376718e-005 -8.1743875633e-008 +9.5625972642e-007 +8.6263864293e-003 +1.6938272236e-005 +9.5901930934e-005
+2.0907650000e+001 +2.9849123540e+001 +2.0457748710e+000 -6.6100329180e+000 +5.6897301520e-001 -2.3534938320e+000 +0.0000000000e+000 +1.5379935332e-005 -3.5440971795e-008 +4.3479373768e-007 +8.6417663646e-003 +1.6902831264e-005 +9.6336724672e-005
+2.1007650000e+001 +3.1186102930e+001 +1.9384508250e+000 -6.7597610510e+000 +5.0426744520e-001 -2.4104655260e+000 +0.0000000000e+000 +3.0730639991e-005 -6.9306334480e-008 +8.6858224184e-007 +8.6724970046e-003 +1.6833524930e-005 +9.7205306914e-005
+2.1207650000e+001 +3.3949898610e+001 +1.7626260750e+000 -7.0592173150e+000 +3.7485630510e-001 -2.5244089140e+000 +0.0000000000e+000 +6.1146293375e-005 -1.3269207651e-007 +1.7275170814e-006 +8.7336432980e-003 +1.6700832853e-005 +9.8932823995e-005
+2.1607650000e+001 +3.3029815210e+001 +1.8929941990e+000 +9.2106534720e+000 -7.2132478250e-001 -2.5071594770e+000 +0.0000000000e+000 +3.0144946291e-005 -6.8556348697e-008 +8.5209188541e-007 +8.7637882443e-003 +1.6632276504e-005 +9.9784915881e-005
+2.1807650000e+001 +2.9449503710e+001 +2.2136490800e+000 +8.6909040470e+000 -8.8194962140e-001 -2.3762428670e+000 +0.0000000000e+000 +1.4964335109e-005 -3.6623129109e-008 +4.2335871064e-007 +8.7787525794e-003 +1.6595653375e-005 +1.0020827459e-004
+2.1907650000e+001 +2.7737310370e+001 +2.3980702460e+000 +8.4310293340e+000 -9.6226204090e-001 -2.3107845620e+000 +0.0000000000e+000 +3.2781190711e-005 -8.2972742284e-008 +9.2779473901e-007 +8.8115337701e-003 +1.6512680633e-005 +1.0113606933e-004
+2.2127650000e+001 +2.4153436820e+001 +2.8603367550e+000 +7.8593049660e+000 -1.1389493640e+000 -2.1667762900e+000 +0.0000000000e+000 +1.7715128471e-004 -4.7712914833e-007 +5.0179382320e-006 +8.9886850548e-003 +1.6035551485e-005 +1.0615400756e-004
+2.3328415000e+001 +9.0550401920e+000 +6.6944886830e+000 +4.7467631230e+000 -2.0317930920e+000 -1.3081320160e+000 +0.0000000000e+000 +3.3829424067e-005 -5.3205667084e-008 +9.1573709959e-007 +9.0225144789e-003 +1.5982345818e-005 +1.0706974466e-004
+2.3548415000e+001 +7.0922437820e+000 +7.6255535250e+000 +4.1750387440e+000 -2.2003198240e+000 -1.1367017330e+000 +0.0000000000e+000 +1.5657070810e-005 -1.2843220549e-008 +4.2382319034e-007 +9.0381715497e-003 +1.5969502597e-005 +1.0749356785e-004
+2.3648415000e+001 +6.2832235050e+000 +8.0732777960e+000 +3.9151640260e+000 -2.2769228830e+000 -1.0587788770e+000 +0.0000000000e+000 +3.4803053455e-005 -1.3758416015e-008 +9.4207950169e-007 +9.0729746031e-003 +1.5955744181e-005 +1.0843564735e-004
+2.3868415000e+001 +4.6863306970e+000 +9.1121997450e+000 +3.3434396470e+000 -2.4454496150e+000 -8.8734859360e-001 +0.0000000000e+000 +1.9543178731e-004 +1.4614590068e-007 +5.2899715858e-006 +9.2684063905e-003 +1.6101890082e-005 +1.1372561894e-004
+2.5069180000e+001 +4.0531597490e-001 +1.5921300390e+001 +2.3089770820e-001 -3.1854969160e+000 +1.2058468150e-001 +0.0000000000e+000 +6.8354339920e-005 +5.6934047159e-007 +1.1837417800e-006 +9.3367607304e-003 +1.6671230553e-005 +1.1490936072e-004
+2.5289180000e+001 +4.2950034740e-001 +1.7356806570e+001 -3.4082667410e-001 -3.3395311890e+000 +3.1943697600e-001 +0.0000000000e+000 +2.4264954386e-005 +1.7599676877e-007 +4.2029522904e-007 +9.3610256848e-003 +1.6847227322e-005 +1.1532965595e-004
+2.5389180000e+001 +5.2365315410e-001 +1.8031714370e+001 -6.0070139320e-001 -3.4095467680e+000 +4.0982438250e-001 +0.0000000000e+000 +4.4723302647e-005 +3.0906832474e-007 +7.7472316329e-007 +9.4057489874e-003 +1.7156295647e-005 +1.1610437911e-004
+2.5589180000e+001 +8.6788359910e-001 +1.9423539310e+001 -1.1204508320e+000 -3.5495779250e+000 +5.9059919560e-001 +0.0000000000e+000 +7.8073085186e-005 +4.9628252994e-007 +1.3526604138e-006 +9.4838220726e-003 +1.7652578177e-005 +1.1745703953e-004
+2.5989180000e+001 +2.6216816330e+000 +1.7322403950e+001 -3.6335890550e+000 +8.3442353580e+000 +1.0454247470e+000 +0.0000000000e+000 +5.0781533938e-005 +1.5474833676e-007 +8.8018634387e-007 +9.5346036065e-003 +1.7807326514e-005 +1.1833722587e-004
+2.6289180000e+001 +5.2894103810e+000 +1.2682807400e+001 -5.2588401040e+000 +7.1210864710e+000 +1.4710587560e+000 +0.0000000000e+000 +6.6848128568e-005 +1.0566165006e-008 +1.1591056685e-006 +9.6014517351e-003 +1.7817892679e-005 +1.1949633154e-004
+2.6689180000e+001 +7.7936735840e+000 +1.1125568480e+001 -2.8159560750e-001 -2.7998343210e+000 +1.7660164710e+000 +0.0000000000e+000 +6.4792924249e-005 -5.7097487312e-008 +1.1237026226e-006 +9.6662446594e-003 +1.7760795191e-005 +1.2062003416e-004
+2.7089180000e+001 +5.6452728650e+000 +1.8240004150e+001 +5.0347206200e+000 -1.6942332360e+001 +1.4818830500e+000 +0.0000000000e+000 +4.3512775612e-005 +6.7436051227e-008 +7.5442161027e-007 +9.7097574350e-003 +1.7828231243e-005 +1.2137445577e-004
+2.7389180000e+001 +3.0445011540e+000 +2.9826666200e+001 +3.6345184140e+000 -2.1679874470e+001 +1.0634333460e+000 +0.0000000000e+000 +5.3893174156e-005 +4.3738712425e-007 +9.3398433314e-007 +9.7636506091e-003 +1.8265618367e-005 +1.2230844010e-004
+2.7789180000e+001 +1.4035996420e+000 +3.7106926760e+001 +9.0731638990e-001 +5.5168826460e+000 +6.5392395280e-001 +0.0000000000e+000 +2.8702847571e-005 +4.3562309036e-007 +4.9720827782e-007 +9.7923534567e-003 +1.8701241457e-005 +1.2280564838e-004
+2.7989180000e+001 +1.0926315790e+000 +3.4934060620e+001 +6.4752392820e-001 +5.3474480050e+000 +5.1223357740e-001 +0.0000000000e+000 +1.5799445163e-005 +2.4277148847e-007 +2.7364135429e-007 +9.8081529019e-003 +1.8944012946e-005 +1.2307928974e-004
+2.8089180000e+001 +9.7611641620e-001 +3.3873042760e+001 +5.1762769740e-001 +5.2627306840e+000 +4.4138838960e-001 +0.0000000000e+000 +3.6674940723e-005 +5.6870327815e-007 +6.3514859101e-007 +9.8448278426e-003 +1.9512716224e-005 +1.2371443833e-004
+2.8309180000e+001 +8.1123000510e-001 +3.1598444440e+001 +2.3185598960e-001 +5.0763525790e+000 +2.8552897660e-001 +0.0000000000e+000 +2.2981124273e-004 +3.6723711342e-006 +3.9793204023e-006 +1.0074639085e-002 +2.3185087358e-005 +1.2769375873e-004
+2.9509945000e+001 +2.1192073500e+000 +2.0273472740e+001 -1.3239223780e+000 +4.2891001310e+000 -4.8834545660e-001 +0.0000000000e+000 +3.2762745248e-005 +3.5323387057e-007 +8.5767780308e-007 +1.0107401831e-002 +2.3538321229e-005 +1.2855143653e-004
+2.9729945000e+001 +2.7646029720e+000 +1.8432574750e+001 -1.6096940850e+000 +4.0786180080e+000 -6.1678285880e-001 +0.0000000000e+000 +1.4393119213e-005 +1.1508778400e-007 +3.7681918360e-007 +1.0121794950e-002 +2.3653409013e-005 +1.2892825572e-004
+2.9829945000e+001 +3.0995314120e+000 +1.7626418520e+001 -1.7395903150e+000 +3.9829443150e+000 -6.7516349620e-001 +0.0000000000e+000 +3.1289341174e-005 +2.1517137912e-007 +8.1920687608e-007 +1.0153084291e-002 +2.3868580392e-005 +1.2974746259e-004
+3.0049945000e+001 +3.9278209260e+000 +1.5920229090e+001 -2.0253620220e+000 +3.7724621920e+000 -8.0360089830e-001 +0.0000000000e+000 +1.6737491596e-004 +7.8644444122e-007 +4.3826398787e-006 +1.0320459207e-002 +2.4655024833e-005 +1.3413010247e-004
+3.1250710000e+001 +1.0642777240e+001 +8.0813426800e+000 -3.5811403500e+000 +2.7100899880e+000 -1.4281863330e+000 +0.0000000000e+000 +2.3166519101e-005 -7.7212095137e-008 +8.5900486146e-007 +1.0343625726e-002 +2.4577812738e-005 +1.3498910733e-004
+3.1470710000e+001 +1.2281348770e+001 +6.9388796870e+000 -3.8669120520e+000 +2.4829236150e+000 -1.5292017230e+000 +0.0000000000e+000 +1.0714594691e-005 -4.1355276471e-008 +3.9732125444e-007 +1.0354340321e-002 +2.4536457461e-005 +1.3538642859e-004
+3.1570710000e+001 +1.3067720800e+001 +6.4526207080e+000 -3.9968082800e+000 +2.3796661730e+000 -1.5751178100e+000 +0.0000000000e+000 +2.1620828104e-005 -8.6890846229e-008 +8.0175319697e-007 +1.0375961149e-002 +2.4449566615e-005 +1.3618818178e-004
+3.1770710000e+001 +1.4718402610e+001 +5.5420572160e+000 -4.2566007360e+000 +2.1731512890e+000 -1.6669499830e+000 +0.0000000000e+000 +4.4100116169e-005 -1.8531478194e-007 +1.6352654681e-006 +1.0420061265e-002 +2.4264251833e-005 +1.3782344725e-004
+3.2170710000e+001 +1.5301935440e+001 +4.8646403950e+000 +2.8906163690e+000 -3.7449936410e-001 -1.6902215570e+000 +0.0000000000e+000 +2.2836307981e-005 -9.3357866824e-008 +8.4651417448e-007 +1.0442897573e-002 +2.4170893966e-005 +1.3866996143e-004
+3.2370710000e+001 +1.4170145050e+001 +5.0238159600e+000 +2.7683355890e+000 -4.2137846230e-001 -1.6212942020e+000 +0.0000000000e+000 +1.1571389354e-005 -4.5489762461e-008 +4.2884995100e-007 +1.0454468962e-002 +2.4125404204e-005 +1.3909881138e-004
+3.2470710000e+001 +1.3622591970e+001 +5.1104356070e+000 +2.7071951990e+000 -4.4481801140e-001 -1.5868305250e+000 +0.0000000000e+000 +2.5623549030e-005 -9.8556061102e-008 +9.4954078605e-007 +1.0480092511e-002 +2.4026848143e-005 +1.4004835216e-004
+3.2690710000e+001 +1.2461018030e+001 +5.3175002740e+000 +2.5726863410e+000 -4.9638501940e-001 -1.5110104350e+000 +0.0000000000e+000 +1.4183715093e-004 -5.1646696006e-007 +5.2548595089e-006 +1.0621929662e-002 +2.3510381183e-005 +1.4530321167e-004
+3.3891475000e+001 +7.1754232420e+000 +6.7650260950e+000 +1.8404026390e+000 -7.0068063230e-001 -1.0235914930e+000 +0.0000000000e+000 +5.6573650149e-005 +4.1235135256e-009 +9.0546715143e-007 +1.0678503312e-002 +2.3514504696e-005 +1.4620867882e-004
+3.4111475000e+001 +6.3952380300e+000 +7.0839925160e+000 +1.7058937780e+000 -7.4916673300e-001 -9.2034939090e-001 +0.0000000000e+000 +2.6309187551e-005 +9.0024940307e-009 +4.2111734957e-007 +1.0704812500e-002 +2.3523507190e-005 +1.4662979617e-004
+3.4211475000e+001 +6.0601733140e+000 +7.2360297760e+000 +1.6447533860e+000 -7.7120586970e-001 -8.7342116270e-001 +0.0000000000e+000 +5.8524927993e-005 +2.7884836208e-008 +9.3681428469e-007 +1.0763337428e-002 +2.3551392026e-005 +1.4756661046e-004
+3.4431475000e+001 +5.3660737730e+000 +7.5860273010e+000 +1.5102445240e+000 -8.1969197040e-001 -7.7017906050e-001 +0.0000000000e+000 +3.2793408595e-004 +2.6268052568e-007 +5.2497255001e-006 +1.1091271514e-002 +2.3814072552e-005 +1.5281633596e-004
+3.5632240000e+001 +2.6254705140e+000 +9.7527146630e+000 +7.7796078280e-001 -9.7210129590e-001 -1.3347111890e-001 +0.0000000000e+000 +1.1952956315e-004 +2.7075158099e-007 +1.0658451894e-006 +1.1210801077e-002 +2.4084824133e-005 +1.5388218115e-004
+3.5852240000e+001 +2.3127597190e+000 +1.0190091630e+001 +6.4345191910e-001 -1.0159758290e+000 -2.8070055420e-003 +0.0000000000e+000 +5.7863635107e-005 +1.5165440244e-007 +5.1601659250e-007 +1.1268664712e-002 +2.4236478536e-005 +1.5439819774e-004
