s bet_x bet_y alf_x alf_y disp_x disp_y rx_i ry_i rs_i rx_int ry_int rs_int
+0.0000000000e+000 +1.7937405360e+000 +1.6901588520e+001 -6.8281144740e-001 +3.7060862590e+000 -5.3332115080e-006 +0.0000000000e+000 -9.5224523636e-008 +2.2467455042e-006 +2.2274137109e-006 -9.5224523636e-008 +2.2467455042e-006 +2.2274137109e-006
+2.2000000000e-001 +2.1337404870e+000 +1.5313106460e+001 -8.6264287650e-001 +3.5142867380e+000 -1.1640149340e-005 +0.0000000000e+000 -5.9622997795e-007 +1.0380762519e-005 +1.2090586047e-005 -6.9145450158e-007 +1.2627508023e-005 +1.4317999758e-005
+1.4207650000e+000 +5.3727176560e+000 +7.9759233510e+000 -1.8416685630e+000 +2.5533700540e+000 +7.4598521900e-002 +0.0000000000e+000 +1.8256834688e-005 +3.6160678791e-007 +2.4105421887e-006 +1.7565380186e-005 +1.2989114811e-005 +1.6728541946e-005
+1.6407650000e+000 +6.2226147380e+000 +6.8980720360e+000 -2.0214999900e+000 +2.3459541060e+000 +1.0201422570e-001 +0.0000000000e+000 +8.4803965010e-006 +1.1869245287e-007 +1.1165887593e-006 +2.6045776687e-005 +1.3107807264e-005 +1.7845130706e-005
+1.7407650000e+000 +6.6350888920e+000 +6.4383092120e+000 -2.1032415480e+000 +2.2516741300e+000 +1.1447590920e-001 +0.0000000000e+000 +1.8856466208e-005 +2.1992840917e-007 +2.4795877004e-006 +4.4902242896e-005 +1.3327735673e-005 +2.0324718406e-005
+1.9607650000e+000 +7.6000780870e+000 +5.4932041030e+000 -2.2830729740e+000 +2.0442581830e+000 +1.4189161300e-001 +0.0000000000e+000 +1.0558787032e-004 +7.6026300835e-007 +1.3845009806e-005 +1.5049011321e-004 +1.4087998682e-005 +3.4169728212e-005
+3.1615300000e+000 +1.4241577990e+001 +1.9009554700e+000 -3.2620986130e+000 +9.2643663250e-001 +3.6579077020e-001 +0.0000000000e+000 +1.0816988523e-004 +1.9499830313e-009 +1.9499083970e-006 +2.5865999845e-004 +1.4089948665e-005 +3.6119636609e-005
+3.3815300000e+000 +1.5716464290e+001 +1.5406369190e+000 -3.4419300350e+000 +7.1137495960e-001 +4.2062848450e-001 +0.0000000000e+000 +5.0890641939e-005 -4.8445077018e-009 +9.1678577737e-007 +3.0955064039e-004 +1.4085104157e-005 +3.7036422387e-005
+3.4815300000e+000 +1.6413024460e+001 +1.4081374580e+000 -3.5236715900e+000 +6.1361965370e-001 +4.4555471830e-001 +0.0000000000e+000 +1.0314533900e-004 -1.3597784473e-008 +1.8576003083e-006 +4.1269597939e-004 +1.4071506373e-005 +3.8894022695e-005
+3.6815300000e+000 +1.7855189710e+001 +1.2017917190e+000 -3.6871547010e+000 +4.1810904190e-001 +4.9540718590e-001 +0.0000000000e+000 +2.1023479570e-004 -3.8830267382e-008 +3.7839687448e-006 +6.2293077509e-004 +1.4032676105e-005 +4.2677991440e-005
+4.0815300000e+000 +1.7889315980e+001 +1.1999083610e+000 +3.6064826220e+000 -4.1314983950e-001 +5.5297667480e-001 +0.0000000000e+000 +1.0194177923e-004 -2.2242462977e-008 +1.8351705672e-006 +7.2487255432e-004 +1.4010433642e-005 +4.4513162007e-005
+4.2815300000e+000 +1.6478041550e+001 +1.4041943700e+000 +3.4498895260e+000 -6.0828020570e-001 +5.5991672560e-001 +0.0000000000e+000 +4.8493972377e-005 -1.0203380859e-008 +8.7366437605e-007 +7.7336652670e-004 +1.4000230261e-005 +4.5386826383e-005
+4.3815300000e+000 +1.5795893300e+001 +1.5356069300e+000 +3.3715929780e+000 -7.0584538880e-001 +5.6338675100e-001 +0.0000000000e+000 +1.0364692298e-004 -2.1002542227e-008 +1.8679883451e-006 +8.7701344968e-004 +1.3979227719e-005 +4.7254814728e-005
+4.6015300000e+000 +1.4350287910e+001 +1.8934004500e+000 +3.1993405720e+000 -9.2048879160e-001 +5.7102080680e-001 +0.0000000000e+000 +5.2795622566e-004 -9.0806672187e-008 +9.5227106850e-006 +1.4049696753e-003 +1.3888421047e-005 +5.6777525413e-005
+5.8022950000e+000 +7.8097008710e+000 +5.4688292640e+000 +2.2615760830e+000 -2.0362964770e+000 +6.8722609700e-001 +0.0000000000e+000 +1.2769460936e-004 +4.7964678630e-008 +8.7049002934e-007 +1.5326642847e-003 +1.3936385726e-005 +5.7648015442e-005
+6.0222950000e+000 +6.8525029250e+000 +6.4103470790e+000 +2.0893236720e+000 -2.2433299540e+000 +7.2228216310e-001 +0.0000000000e+000 +5.4038055663e-005 +2.5502565727e-008 +3.6846953179e-007 +1.5867023404e-003 +1.3961888291e-005 +5.8016484974e-005
+6.1222950000e+000 +6.4424678460e+000 +6.8684236830e+000 +2.0110271210e+000 -2.3374360800e+000 +7.3821673860e-001 +0.0000000000e+000 +1.1521032075e-004 +5.9915218273e-008 +7.8567191868e-007 +1.7019126611e-003 +1.4021803510e-005 +5.8802156893e-005
+6.3422950000e+000 +5.5955114430e+000 +7.9424429220e+000 +1.8387747110e+000 -2.5444695560e+000 +7.7327280470e-001 +0.0000000000e+000 +5.8824063853e-004 +3.7392096761e-007 +4.0124090692e-006 +2.2901532996e-003 +1.4395724477e-005 +6.2814565962e-005
+7.5430600000e+000 +2.3140474240e+000 +1.5256361200e+001 +9.0101017330e-001 -3.5039478380e+000 +1.0387670870e+000 +0.0000000000e+000 +1.0055432580e-004 +1.0803888287e-007 +4.6708608296e-007 +2.3907076254e-003 +1.4503763360e-005 +6.3281652045e-005
+7.7630600000e+000 +1.9554984780e+000 +1.6840220900e+001 +7.2875776000e-001 -3.6954144050e+000 +1.1012451630e+000 +0.0000000000e+000 +4.3269733230e-005 +5.1530244266e-008 +2.0100989391e-007 +2.4339773587e-003 +1.4555293604e-005 +6.3482661939e-005
+7.8630600000e+000 +1.8175765810e+000 +1.7588006800e+001 +6.5046120860e-001 -3.7824446620e+000 +1.1296442890e+000 +0.0000000000e+000 +8.4475743530e-005 +1.0528222785e-007 +3.9244637312e-007 +2.5184531022e-003 +1.4660575832e-005 +6.3875108312e-005
+8.0630600000e+000 +1.5887107190e+000 +1.9135796770e+001 +4.9386810560e-001 -3.9565051770e+000 +1.1864425400e+000 +0.0000000000e+000 +1.6120718284e-004 +2.1952772828e-007 +7.4896159165e-007 +2.6796602850e-003 +1.4880103560e-005 +6.4624069904e-005
+8.4630600000e+000 +1.5435547100e+000 +1.9288450870e+001 -3.7518234010e-001 +3.5948737810e+000 +1.3965225550e+000 +0.0000000000e+000 +7.6631677073e-005 +9.2018875878e-008 +3.5606043401e-007 +2.7562919621e-003 +1.4972122436e-005 +6.4980130338e-005
+8.6630600000e+000 +1.7231895860e+000 +1.7879374840e+001 -5.2299203950e-001 +3.4505063810e+000 +1.5525214920e+000 +0.0000000000e+000 +3.8205250928e-005 +3.6181233428e-008 +1.7752308091e-007 +2.7944972130e-003 +1.5008303670e-005 +6.5157653418e-005
+8.7630600000e+000 +1.8351784780e+000 +1.7196491940e+001 -5.9689688920e-001 +3.3783226810e+000 +1.6305209600e+000 +0.0000000000e+000 +8.4013854798e-005 +6.9826071764e-008 +3.9038233955e-007 +2.8785110678e-003 +1.5078129742e-005 +6.5548035758e-005
+8.9830600000e+000 +2.1335830570e+000 +1.5744966870e+001 -7.5948755860e-001 +3.2195185420e+000 +1.8021197910e+000 +0.0000000000e+000 +4.5905882911e-004 +2.7546350569e-007 +2.1331547962e-006 +3.3375698969e-003 +1.5353593247e-005 +6.7681190554e-005
+1.0183825000e+001 +5.0130421380e+000 +8.8884545740e+000 -1.6446523070e+000 +2.4506361720e+000 +2.8109706520e+000 +0.0000000000e+000 +8.8384034095e-005 -1.7904982643e-008 +4.0693684344e-007 +3.4259539310e-003 +1.5335688265e-005 +6.8088127398e-005
+1.0403825000e+001 +5.7724591000e+000 +7.8483221100e+000 -1.8072429740e+000 +2.2772386630e+000 +3.0099914910e+000 +0.0000000000e+000 +4.0727955661e-005 -1.1279377404e-008 +1.8752271546e-007 +3.4666818867e-003 +1.5324408887e-005 +6.8275650113e-005
+1.0503825000e+001 +6.1412981800e+000 +7.4007560820e+000 -1.8811478230e+000 +2.1984216130e+000 +3.1004555090e+000 +0.0000000000e+000 +9.0220905084e-005 -2.7424163307e-008 +4.1540471365e-007 +3.5569027918e-003 +1.5296984724e-005 +6.8691054827e-005
+1.0723825000e+001 +7.0047731690e+000 +6.4715980240e+000 -2.0437384900e+000 +2.0250241040e+000 +3.2994763480e+000 +0.0000000000e+000 +5.0064994004e-004 -1.7511316122e-007 +2.3051717506e-006 +4.0575527318e-003 +1.5121871563e-005 +7.0996226577e-005
+1.1924590000e+001 +1.2960549060e+001 +2.6886194830e+000 -2.9289031950e+000 +1.1033993110e+000 +4.4576161910e+000 +0.0000000000e+000 +1.0070642557e-004 -3.7389844317e-008 +4.7528283609e-007 +4.1582591574e-003 +1.5084481718e-005 +7.1471509413e-005
+1.2144590000e+001 +1.4285036420e+001 +2.2430426060e+000 -3.0914938580e+000 +9.2195012830e-001 +4.6840590370e+000 +0.0000000000e+000 +4.6747178833e-005 -1.6132520001e-008 +2.2062198213e-007 +4.2050063362e-003 +1.5068349198e-005 +7.1692131396e-005
+1.2244590000e+001 +1.4910725670e+001 +2.0669002710e+000 -3.1653987040e+000 +8.3947322690e-001 +4.7869876040e+000 +0.0000000000e+000 +9.4336796451e-005 -3.1366047480e-008 +4.4521817104e-007 +4.2993431327e-003 +1.5036983151e-005 +7.2137349567e-005
+1.2444590000e+001 +1.6206447090e+001 +1.7641017400e+000 -3.3132083980e+000 +6.7451942410e-001 +4.9928447370e+000 +0.0000000000e+000 +1.9169591436e-004 -5.8958300615e-008 +9.0469043225e-007 +4.4910390470e-003 +1.4978024850e-005 +7.3042039999e-005
+1.2844590000e+001 +1.5940922220e+001 +1.6318553010e+000 +3.9370689160e+000 -3.2447292320e-001 +4.9536532610e+000 +0.0000000000e+000 +9.8142138187e-005 -2.8463540428e-008 +4.6316564649e-007 +4.5891811852e-003 +1.4949561310e-005 +7.3505205645e-005
